train,val
O95257_D_89_K,Q96Q83_H_191_A
P21673_Y_140_F,Q96Q83_D_193_A
P07711_C_138_S,P27448_T_211_A
P02545_K_201_L,Q9UGP5_K_312_A
P17050_N_201_Q,Q9UGP5_D_427_A
P40429_S_77_A,Q9UGP5_D_429_A
Q7Z3T8_C_753_S,Q9UGP5_Y_505_A
Q12834_S_92_A,Q9UGP5_F_506_G
Q12834_R_132_A,Q9UGP5_F_506_R
Q12834_S_153_A,P54762_K_651_R
Q12834_T_157_A,P54762_Y_778_F
Q12834_S_161_A,P54762_Y_928_F
P51857_Y_58_A,P41146_Q_107_A
P51857_E_120_A,P41146_D_110_A
P13747_R_83_A,P41146_D_130_A
P13747_R_86_A,P41146_Y_131_A
P13747_D_90_A,P41146_Q_280_A
P13747_Q_93_A,P41146_Y_309_A
P13747_R_96_A,Q96RU2_C_171_A
P13747_V_97_A,Q9Y2H1_T_75_A
P13747_R_100_A,Q9NWS0_F_54_A
P13747_E_110_A,Q9NWS0_C_55_A
P13747_R_129_A,Q9NWS0_K_57_A
P13747_K_167_A,Q9NWS0_K_64_A
P13747_D_170_A,Q9NWS0_K_113_A
P13747_E_173_A,Q9NWS0_R_163_A
P13747_E_175_A,Q9NWS0_K_166_A
P13747_H_176_A,Q9NWS0_R_168_A
P13747_D_183_A,O15527_K_249_Q
P13747_E_187_A,O15527_D_268_E
P13747_T_235_A,O15527_D_268_Q
P49789_I_10_W,O15527_D_268_N
P49789_L_25_W,O95630_D_348_A
P49789_H_35_N,Q9BYN0_C_99_S
P49789_H_94_N,O95747_K_46_A
P49789_H_96_D,O95747_K_46_M
P49789_H_96_G,Q01968_D_422_A
P49789_H_96_N,Q01968_D_499_A
P49789_H_98_N,Q01968_F_668_V
P05231_A_173_V,Q7L523_T_21_N
P05231_W_185_R,Q7L523_K_142_R
P05231_S_204_P,Q7L523_K_220_R
P05231_R_210_K,Q7L523_K_230_R
P05231_R_210_E,Q7L523_K_244_R
P05231_R_210_Q,Q92466_L_258_A
P05231_R_210_T,Q92466_S_262_A
P05231_R_210_A,Q92466_D_264_A
P05231_R_210_P,Q92466_I_269_A
P78347_Y_398_F,Q92466_W_270_A
P78347_Y_503_F,Q92466_L_272_A
P62979_K_48_R,Q92466_R_273_A
P62979_K_63_R,Q92466_L_350_P
P62979_S_65_A,P49795_S_151_A
P62979_S_65_D,O14493_F_35_A
P62979_H_68_G,O14493_F_35_D
P62979_R_72_G,O14493_I_40_A
P62979_R_72_K,O14493_I_40_D
P62979_R_74_G,O14493_N_53_A
P62979_R_74_K,O14493_N_53_D
P62979_G_76_A,O15217_Y_9_F
P02766_F_107_M,O15217_Y_212_A
P02766_L_130_M,O15217_Y_212_F
Q7L266_T_168_A,O15217_Y_212_S
Q7L266_T_168_C,Q9UGM1_I_86_T
Q7L266_T_168_S,Q8IVV7_Q_132_A
P10275_L_702_A,Q8IVV7_E_237_A
P10275_K_721_A,Q8IVV7_S_253_D
P10275_W_742_L,Q8IVV7_Y_258_A
P10275_K_846_R,Q8IVV7_Y_273_A
P10275_K_848_R,Q8IVV7_Q_282_A
P10275_E_898_A,Q5VVQ6_C_160_S
P10275_E_898_Q,Q5VVQ6_I_292_Q
P10275_E_898_K,Q5VVQ6_V_295_Q
P10275_E_898_R,Q9Y6D5_E_738_K
P10275_Y_916_F,Q9H7Z6_K_274_A
Q9UJ71_E_285_A,Q9H7Z6_K_274_R
Q9UJ71_N_287_A,Q9H7Z6_C_316_S
Q9UJ71_K_299_A,Q9H7Z6_E_350_Q
Q9UJ71_K_313_A,P53602_N_17_A
P0C7P0_H_75_C,Q9HAS3_S_568_P
P0C7P0_H_113_C,Q9UIS9_R_22_A
Q8TDX7_Y_28_A,Q9UIS9_R_22_K
Q8TDX7_L_31_A,Q9UIS9_R_30_A
Q8TDX7_N_33_D,Q9UIS9_R_30_K
Q8TDX7_Y_97_A,Q9UIS9_D_32_A
Q8TDX7_Y_97_F,Q9UIS9_Y_34_A
Q8TDX7_Y_97_L,Q9UIS9_Y_34_F
O15259_L_180_P,Q9UIS9_R_44_A
O15259_P_203_L,Q9UIS9_R_44_K
Q9BT30_L_110_Q,Q9UIS9_S_45_A
Q9UMS0_G_189_A,Q9UIS9_K_46_A
Q9UMS0_G_189_K,Q9UIS9_Y_52_A
O15091_D_409_N,Q9UIS9_F_64_A
O15091_D_478_N,Q9UIS9_K_65_A
O15091_D_479_N,O94804_K_65_I
O15091_P_480_G,O60583_N_260_C
P35240_L_64_P,Q9H816_D_14_N
P35240_S_518_A,Q9H816_H_33_A
P35240_S_518_D,Q9H816_D_35_N
Q9NVP2_D_36_A,Q9H816_H_276_A
Q9NVP2_D_37_A,Q96MF7_C_169_A
P62805_K_13_A,Q96MF7_C_185_A
P62805_K_32_R,Q96MF7_H_187_A
Q9P212_Q_2140_E,Q96MF7_C_210_A
Q9P212_Q_2148_E,Q96MF7_C_215_A
Q9P212_Q_2148_K,P60953_G_12_V
Q9P212_R_2150_L,P60953_T_17_N
Q9P212_K_2171_L,P60953_Y_32_F
Q9P212_Y_2174_L,P60953_Q_61_L
O00763_R_277_A,O95628_L_16_A
Q92831_V_752_A,O95628_L_16_E
Q92831_Y_760_A,O95628_C_17_A
Q92831_Y_802_A,O95628_M_18_A
Q92831_Y_809_A,O95628_C_33_R
Q92830_E_575_A,O95628_W_42_A
Q92830_D_615_A,O95628_R_44_A
Q92830_Y_645_A,O95628_R_44_E
Q9UKL6_C_63_A,O95628_I_45_A
P21453_R_120_A,O95628_I_45_W
P21453_E_121_A,O95628_E_49_A
P21453_E_121_Q,O95628_E_49_K
P21453_F_210_L,O95628_P_54_A
P21453_F_265_L,O95628_R_57_A
P21453_W_269_F,O95628_R_57_E
P21453_W_269_L,P09936_Q_73_R
P21453_R_292_A,P09936_C_90_S
P21453_R_292_V,P09936_H_97_Q
Q9Y6E0_K_65_A,P09936_H_97_N
Q9Y6E0_T_190_A,P09936_H_161_D
P01236_G_157_D,P09936_H_161_K
P01236_G_157_F,P09936_H_161_Q
P01236_G_157_L,P09936_H_161_N
P01236_G_157_N,P09936_H_161_Y
P01236_G_157_R,P09936_D_176_N
P01236_G_157_V,P09936_F_204_A
P01236_G_157_Y,P51617_D_340_N
O75381_F_52_A,P51617_T_387_A
O75381_F_52_W,O00267_R_696_A
O75381_K_56_A,O00267_R_696_K
O75381_K_56_E,O00267_R_698_A
P52655_S_316_A,O00267_R_698_K
P52655_S_321_A,O00267_G_1002_D
P60520_R_47_A,O00264_Y_113_F
P60520_G_116_A,Q6P3W2_C_139_S
Q5MNZ6_R_225_A,Q9H2K8_D_165_A
Q5MNZ6_R_226_A,Q9H2K8_T_181_A
P01215_N_76_D,Q9H2K8_Y_183_F
Q14562_K_594_E,Q00059_T_77_A
Q14562_S_717_L,Q00059_Y_162_A
Q14566_E_757_A,Q00604_C_95_A
Q14566_E_757_D,P06731_F_63_I
Q14566_E_763_A,P06731_F_63_R
Q14566_E_763_D,P06731_S_66_N
Q14566_L_766_A,P06731_Y_68_A
P18074_K_48_R,P06731_Y_68_F
P18074_C_190_S,P06731_K_69_A
P17844_K_53_R,P06731_V_73_A
P17844_E_55_A,P06731_D_74_A
P17844_K_144_R,P06731_D_74_L
P17735_I_294_A,P06731_D_74_R
Q9NRH2_T_173_A,P06731_Q_78_L
Q9NRH2_T_173_E,P06731_Q_78_R
P25774_N_104_Q,P06731_I_125_A
Q09013_K_100_A,P06731_L_129_A
Q9NYG5_C_23_S,P06731_L_129_C
Q9NYG5_C_26_S,P06731_L_129_S
Q9NYG5_C_34_S,P06731_E_133_A
Q9NYG5_C_37_S,P01033_T_25_E
Q9NYG5_C_44_S,P01033_T_25_G
Q9NYG5_C_51_S,P01033_T_25_K
Q9NYG5_H_53_S,P01033_T_25_Q
Q9NYG5_H_56_S,P01033_T_25_R
Q9NYG5_H_58_S,P01033_T_25_V
Q9NYG5_C_59_S,P01033_H_30_A
Q9NYG5_C_73_S,P01033_Q_32_A
Q9NYG5_C_76_S,P01033_T_121_L
Q96LI5_E_240_A,Q9Y4E8_C_298_A
Q96LI5_F_484_A,Q9Y4E8_C_812_A
Q96LI5_D_489_A,P78543_H_53_A
Q96LI5_H_529_A,P78543_Y_65_A
P04908_S_2_A,P78543_D_75_A
Q9NRF2_R_555_A,P78543_W_103_A
O75762_K_620_A,P78543_D_105_A
O75762_C_621_A,P78543_E_115_A
O75762_C_621_S,Q92506_D_42_A
O75762_P_622_A,Q92506_R_148_E
O75762_C_633_S,Q92506_Y_169_A
O75762_M_634_L,Q92506_K_173_A
O75762_C_641_A,Q92506_R_189_E
O75762_C_641_S,P04746_R_210_A
O75762_T_646_P,P04746_R_210_Q
O75762_C_665_A,P04746_D_212_A
O75762_C_665_L,P04746_D_212_N
O75762_C_665_S,P04746_E_248_A
O75762_K_710_R,P04746_E_248_Q
O75762_K_710_Q,P04746_N_313_S
O75762_C_856_S,P04746_D_315_A
O75762_F_909_A,P04746_D_315_N
O75762_F_909_T,P04746_R_352_A
O75762_F_944_A,O75340_E_47_A
O43791_Y_87_A,O75340_L_52_A
O43791_Y_123_A,O75340_S_53_G
O43791_D_130_A,O75340_W_57_A
O43791_W_131_A,O75340_F_60_A
O43791_F_133_A,O75340_F_85_A
O43791_L_186_D,O75340_W_89_A
O43791_L_190_D,O75340_Y_91_A
O43791_L_193_D,O75340_I_92_A
O43791_I_217_K,O75340_W_95_A
Q9UGB7_K_127_S,O75340_E_114_A
O43189_W_41_A,O75340_F_122_A
O43189_Y_47_A,O75340_F_122_G
O43189_F_65_A,O75340_F_122_S
O43189_E_66_K,O75340_F_122_W
O43189_F_71_A,O75340_F_148_S
P15428_Q_148_A,O75340_Y_180_A
P15428_Q_148_E,Q14019_K_75_A
P15428_Q_148_H,Q14019_K_130_A
P15428_Q_148_N,Q14019_K_131_A
P15428_Y_151_A,Q14019_K_131_E
P15428_Y_151_F,Q14019_K_131_R
P15428_K_155_Q,P02489_N_123_D
Q9Y3Y4_E_349_A,P40926_K_185_R
Q9Y3Y4_V_350_E,P40926_K_301_R
Q9Y3Y4_N_351_A,P40926_K_307_R
Q9Y3Y4_Q_354_A,P40926_K_314_R
Q9Y3Y4_A_356_E,O95503_I_16_F
Q9Y3Y4_I_357_R,Q86YS6_T_82_A
Q9Y3Y4_E_360_A,Q86YS6_T_82_E
Q9Y3Y4_W_366_E,O75899_Y_118_A
O43424_S_25_A,Q9BV86_Y_19_A
O43424_I_26_A,Q9BV86_Y_19_F
O43424_T_60_A,Q9BV86_W_20_A
O43424_E_61_A,Q9BV86_W_20_M
O43424_F_76_D,Q9BV86_W_20_Y
O43424_L_342_A,Q9BV86_W_136_L
O43424_E_343_A,Q9BV86_D_167_A
O43424_D_344_A,Q9BV86_D_167_N
O43424_R_345_A,Q9BV86_D_167_Q
O43424_K_346_A,Q9BV86_N_168_A
O43424_H_348_A,Q9BV86_N_168_K
O43424_S_349_A,Q9BV86_D_177_A
O43424_M_350_A,Q9BV86_D_177_K
O43424_S_352_A,Q9BV86_D_177_N
O43424_Q_364_A,Q9BV86_D_180_A
O60704_R_78_A,Q9BV86_D_180_K
O60704_E_99_A,Q9BV86_D_180_N
O60704_R_101_A,Q9BV86_S_182_A
O60704_W_113_A,Q9BV86_S_182_K
O60704_K_158_A,Q8N5Y2_Y_31_A
O60704_T_198_A,Q8N5Y2_H_55_A
O60704_S_285_A,Q8N5Y2_F_56_A
Q16853_M_211_V,Q8N5Y2_W_59_G
Q16853_Y_394_N,Q8N5Y2_R_65_A
Q16853_L_469_G,Q9UBN7_H_611_A
P19474_C_16_A,P10599_C_32_S
P54760_L_95_R,P10599_C_35_S
Q00987_C_438_L,P10599_D_60_N
Q00987_C_441_G,P10599_C_62_S
Q00987_C_449_A,P10599_C_69_S
Q00987_C_449_S,P10599_E_70_A
Q00987_H_452_A,P10599_K_72_A
Q00987_T_455_A,P10599_C_73_D
Q00987_H_457_S,P10599_C_73_S
Q00987_C_461_S,Q8N5K1_C_92_S
Q00987_C_464_A,Q8N5K1_C_99_S
Q00987_C_475_G,Q8N5K1_C_101_S
Q00987_C_478_R,Q8N5K1_C_110_S
Q00987_C_478_S,Q8N5K1_H_114_Q
P54764_Q_40_A,Q13976_L_281_A
P54764_E_42_A,Q13976_R_282_A
A5YKK6_K_1208_E,Q13976_T_302_A
A5YKK6_P_1209_Y,Q13976_Y_336_A
A5YKK6_H_1212_Y,P62837_K_63_A
A5YKK6_K_1218_E,P62837_K_63_E
A5YKK6_V_1251_R,P62837_C_85_A
A5YKK6_P_1257_Y,Q9BXR0_D_279_N
O75365_C_49_A,P20155_P_45_A
O75365_D_71_A,P20155_R_46_A
O75365_D_72_A,P20155_H_47_A
O75365_C_104_A,P20155_F_48_A
O75365_C_104_S,Q9UKK6_I_114_R
O75365_A_111_S,Q9UKK6_R_134_D
Q13237_D_412_A,Q9GZN7_F_261_A
Q13237_R_415_A,Q9GZN7_L_271_A
O75369_K_2468_R,Q9Y6H6_D_90_N
P60709_Y_69_A,P15529_N_83_Q
P60709_I_71_A,P15529_N_114_Q
P60709_H_73_A,P15529_N_273_Q
P60709_G_74_A,Q5TA50_F_42_A
P60709_W_79_E,Q5TA50_L_43_R
P60709_D_80_A,Q5TA50_F_50_R
P60709_D_81_A,Q5TA50_I_53_N
P60709_M_82_A,Q5TA50_D_56_V
P12104_L_39_G,Q5TA50_K_60_A
P12104_E_64_G,Q5TA50_R_97_L
P12104_L_65_A,Q5TA50_R_106_L
P12104_L_65_G,Q5TA50_R_110_L
P12104_V_67_G,Q5TA50_R_113_E
P12104_L_90_G,Q5TA50_R_113_L
P12104_V_123_G,Q5TA50_W_117_A
O14788_R_223_A,Q5TA50_L_118_R
O14788_K_257_A,Q5TA50_Y_149_A
P23743_E_134_Q,Q5TA50_V_158_N
P23743_E_179_Q,Q07869_D_304_A
Q02297_K_181_E,Q07869_L_370_R
Q02297_K_185_E,Q07869_L_391_R
Q02297_K_187_E,Q07869_L_422_R
P30048_T_146_A,Q07869_A_431_T
P16083_N_162_H,Q07869_L_433_R
P21980_C_277_V,P35523_I_290_C
P62491_K_13_N,P35523_I_290_E
P62491_V_22_M,P35523_I_290_F
P62491_K_24_R,P35523_I_290_G
P62491_S_25_N,P35523_I_290_K
P62491_F_36_A,P35523_I_290_L
P62491_L_38_P,P35523_I_290_Q
P62491_S_40_F,P35523_I_290_T
P62491_K_41_A,P35523_I_290_V
P62491_K_41_P,P35523_I_290_Y
P62491_I_44_A,P35523_E_291_D
P62491_Q_70_L,P35523_E_291_L
P62491_R_82_C,P35523_R_496_K
P62491_S_154_L,P35523_G_499_K
P61619_Y_344_H,P35523_G_499_E
P62495_K_63_A,P35523_G_499_Q
P62495_K_63_R,P35523_E_500_Q
P62495_Q_185_R,Q05823_K_240_N
P62495_Q_185_I,Q05823_K_274_N
P62495_Q_185_N,Q05823_K_392_R
O94766_E_281_A,Q05823_H_583_A
O94766_C_301_A,Q05823_P_584_A
P16333_W_38_K,Q05823_W_632_A
P16333_W_143_K,Q05823_D_661_A
P16333_R_308_K,Q05823_R_667_A
Q9BYP7_D_294_A,Q05823_H_672_A
Q9BQ50_D_14_A,P54753_K_665_R
Q9BQ50_E_16_A,O95425_L_2176_K
Q9BQ50_D_123_A,Q9Y3R4_D_46_A
Q13641_K_76_A,Q9Y3R4_E_218_A
Q13641_F_97_T,Q9Y3R4_E_218_Q
Q13641_N_124_Q,Q9Y3R4_Q_270_E
Q13641_R_214_E,P23415_G_282_A
Q13641_Y_325_A,P23415_K_304_C
Q9Y5A9_R_411_A,P67809_W_65_A
Q9Y5A9_K_416_A,P67809_W_65_F
Q9Y5A9_W_432_A,P67809_S_102_A
Q9Y5A9_R_441_A,P49427_Y_70_R
Q9Y5A9_W_486_A,P49427_N_85_Q
Q9Y5A9_W_491_A,P49427_Y_87_A
Q9Y5A9_R_527_A,P49427_C_93_S
Q9ULV0_Y_1714_E,P49427_C_93_A
Q9ULV0_Q_1748_R,P49427_S_95_D
Q6XQN6_D_19_A,P49427_L_97_S
Q6XQN6_Y_21_A,P49427_E_112_A
Q6XQN6_G_169_A,P49427_T_117_E
Q6XQN6_G_209_A,P49427_S_129_L
Q6XQN6_H_213_A,P49427_S_129_R
Q6XQN6_D_288_A,P49427_E_133_R
Q6XQN6_R_318_A,P49427_S_138_A
Q6XQN6_N_357_A,P49427_D_143_A
P46060_K_524_R,P49427_M_147_A
Q96MU7_K_361_L,P49427_R_149_A
Q96MU7_S_362_A,P49427_K_150_A
Q96MU7_N_367_D,P49427_E_153_A
Q96MU7_W_377_A,P09913_R_184_E
Q96MU7_W_377_D,P09913_K_255_E
Q96MU7_L_380_T,P09913_R_259_E
Q96MU7_L_387_E,P09913_R_292_E
Q96MU7_L_399_E,P09913_K_410_E
Q96MU7_F_401_D,Q9HCE7_K_28_A
Q96MU7_S_402_A,Q9HCE7_K_85_A
Q96MU7_F_409_D,P09917_W_76_A
Q96MU7_G_411_I,P09917_W_103_A
Q96MU7_W_428_A,P09917_S_272_A
Q96MU7_W_428_D,P09917_D_359_N
Q96MU7_M_438_A,P09917_F_360_W
Q96MU7_W_447_D,P09917_H_363_S
Q96MU7_N_466_D,P09917_H_363_N
Q96MU7_R_475_A,P09917_H_368_S
Q96MU7_R_475_D,P09917_H_368_N
Q96MU7_R_475_F,P09917_H_368_A
Q96MU7_D_476_K,P09917_H_373_S
Q16678_V_395_L,P09917_H_373_N
Q9NX09_S_103_L,P09917_E_377_Q
Q9NX09_S_103_W,P09917_H_391_A
Q9NX09_R_133_A,P09917_H_391_S
Q9NX09_S_137_A,P09917_H_391_N
Q9NX09_S_137_D,P09917_H_400_A
Q9NX09_P_139_A,P09917_H_400_S
Q9NX09_C_140_S,P09917_H_400_N
Q96HS1_H_105_A,P09917_A_425_I
Q9NXA8_T_69_A,P09917_N_426_M
Q9NXA8_Y_102_F,P09917_H_433_N
Q9NXA8_R_105_M,P09917_H_433_A
Q9NXA8_H_158_A,P09917_S_524_A
P06702_C_3_A,P09917_H_551_N
P06702_E_36_Q,P09917_H_551_A
P06702_M_63_A,P09917_A_604_I
P06702_E_78_Q,P09917_S_664_A
P06702_M_81_A,P09917_S_664_D
P06702_M_83_A,O15519_Y_360_F
P10646_K_64_I,Q03154_H_80_A
P10646_R_135_L,Q03154_D_113_A
P10646_R_227_L,Q03154_E_147_A
P20138_N_100_A,Q03154_E_147_Q
P60891_S_132_A,Q03154_E_147_D
P60891_S_132_F,Q03154_E_148_A
P60891_N_144_H,Q03154_E_175_A
P60891_Y_146_F,Q03154_H_373_A
P60891_Y_146_M,O14773_H_236_A
Q9UBZ9_D_570_A,O14773_D_360_A
Q9UBZ9_E_571_A,O14773_S_475_A
P16422_N_74_A,O14773_D_517_A
P16422_N_111_A,P62068_C_44_S
P16422_N_198_A,P61244_K_66_Q
Q9NW64_K_170_R,P61244_K_66_R
Q96GX9_S_84_A,Q9NUN7_D_19_G
Q96GX9_S_84_D,Q9NUN7_E_22_G
Q96GX9_S_87_A,Q9NUN7_N_24_G
Q96GX9_S_87_D,Q9NUN7_S_99_A
Q96GX9_S_89_A,Q9NUN7_Y_149_A
Q96GX9_S_89_D,Q9NUN7_S_228_A
Q96GX9_Q_96_A,Q03393_S_19_A
Q96GX9_C_97_A,O76064_R_42_A
Q96GX9_H_115_A,O76064_C_403_S
Q96GX9_H_117_A,O76064_I_405_A
Q96GX9_E_139_A,O76064_C_406_S
Q96GX9_H_195_A,O76064_D_443_R
Q86V24_H_202_A,O00330_R_183_A
Q86V24_D_219_A,O00330_S_185_A
Q86V24_H_348_A,O00330_P_186_A
Q86V24_H_352_A,O00330_A_187_M
P27144_R_7_G,O00330_R_189_A
Q9UBL3_R_296_K,O00330_N_190_A
Q9UBL3_R_300_K,O00330_N_190_K
Q9H0H5_F_289_G,O00330_E_193_A
Q9H0H5_K_292_L,O00330_R_208_A
Q9H0H5_R_306_L,O00330_R_208_D
Q9H0H5_F_309_A,O00330_I_210_A
Q9H0H5_C_316_G,O00330_I_210_R
Q9H0H5_R_385_A,O00330_I_210_S
Q13822_S_170_E,O00330_K_213_A
Q13822_T_210_A,O00330_E_214_A
Q13822_F_211_Y,O95365_P_14_S
Q13822_A_218_V,O95365_S_22_R
Q13822_N_231_A,O95365_R_49_H
Q13822_Y_307_Q,O95365_K_60_R
Q13822_H_316_Q,O95365_K_61_R
Q13822_H_360_Q,O95365_D_78_E
P48426_G_131_L,O95365_R_112_C
P48426_Y_138_F,Q9H0M0_E_614_A
Q9Y2Z4_S_200_E,Q9H0M0_H_621_A
Q9Y2Z4_Q_202_A,Q9H0M0_D_675_A
Q93009_D_164_A,Q9H0M0_E_798_A
Q93009_W_165_A,Q9H0M0_M_804_P
Q93009_C_223_A,Q9H0M0_E_806_P
Q93009_C_223_S,Q9H0M0_R_845_A
Q93009_H_456_A,Q9H0M0_Q_848_A
Q93009_H_464_A,Q9H0M0_R_855_A
Q00613_L_22_A,P00492_K_69_A
Q00613_K_80_Q,Q6IQ22_S_106_A
Q00613_K_80_R,Q6IQ22_S_106_E
Q00613_K_91_R,P15880_K_58_R
Q00613_K_118_Q,P15880_K_275_R
Q00613_K_118_R,P17643_Y_362_F
Q00613_T_120_A,P17643_R_374_S
Q00613_S_121_A,P17643_T_391_V
Q00613_S_121_D,Q92963_S_35_N
P35813_D_239_N,Q92963_T_53_S
Q9NZU0_D_38_A,Q92963_E_55_G
Q9NZU0_Y_43_A,Q6NTF7_E_56_Q
Q9NZU0_N_45_A,Q8NFG4_F_118_D
Q9NZU0_R_47_A,Q8NFG4_R_164_A
Q9NZU0_Y_64_A,Q8NFG4_S_406_A
Q9NZU0_Y_89_A,Q8NFG4_S_537_A
Q9NZU0_Y_91_A,Q8NFG4_S_542_A
Q9NZU0_R_181_A,Q7L5D6_D_84_K
Q9NZU0_R_181_N,Q7L5D6_Y_182_A
Q9NZU0_D_183_A,Q7L5D6_F_188_A
Q9NZU0_D_183_T,Q7L5D6_F_195_A
Q9BVM4_E_82_A,Q7L5D6_W_241_A
Q9BVM4_E_82_Q,Q7L5D6_F_242_A
P09493_K_15_N,Q7L5D6_V_257_A
P09493_S_283_A,Q7L5D6_L_258_A
P09493_S_283_E,Q7L5D6_C_259_A
Q9H0P0_D_88_N,Q7L5D6_Y_262_A
Q9H0P0_F_89_A,Q7L5D6_L_266_A
Q9H0P0_D_90_N,Q14258_K_21_R
Q9H0P0_E_135_D,Q14258_K_65_R
Q9H0P0_D_232_N,O75695_F_101_A
Q9H0P0_F_233_A,O75695_Q_115_A
Q9H0P0_D_234_N,O75695_Q_116_A
Q86TM6_C_294_A,O75695_R_118_A
Q86TM6_C_329_S,O75695_R_120_H
Q9P0L0_K_94_D,O75695_D_121_S
Q9P0L0_M_96_D,O75695_F_177_A
Q92730_T_27_N,Q9H3U1_K_33_E
Q92730_T_45_A,Q9H3U1_A_40_D
Q96AB6_C_75_A,Q9H3U1_K_70_E
Q96AB6_C_75_S,Q9H3U1_A_77_D
Q96AB6_C_75_T,O00214_R_69_H
P08631_K_290_E,O00214_R_190_H
P08631_E_305_A,P07996_N_1067_K
P08631_D_381_E,O43813_R_4_A
P08631_Y_411_A,O43813_K_317_A
P08631_Y_522_F,O43813_C_322_A
P43026_Y_490_N,O43813_R_364_A
Q8IYV9_E_71_A,O43813_R_364_E
Q8IYV9_E_71_K,P19099_I_112_P
Q8IYV9_W_148_A,P19099_D_147_E
Q8IYV9_H_157_A,P19099_K_152_N
Q8IYV9_R_160_A,Q2MKA7_R_66_A
Q8IYV9_R_160_E,Q2MKA7_R_66_W
Q9Y5P4_E_472_A,Q2MKA7_R_70_C
Q9Y5P4_Q_493_A,Q2MKA7_R_70_E
Q9Y5P4_W_499_A,Q2MKA7_Q_71_E
Q9Y5P4_N_530_A,Q2MKA7_Q_71_R
Q9Y5P4_W_588_A,Q2MKA7_G_73_E
Q9UKM7_E_330_Q,Q2MKA7_G_73_R
Q9UKM7_D_463_N,Q2MKA7_R_87_A
Q9UKM7_H_524_A,Q2MKA7_F_106_A
Q9UKM7_E_599_Q,Q2MKA7_F_106_E
P20132_C_303_A,Q2MKA7_F_110_A
Q9H3L0_F_165_A,Q2MKA7_F_110_E
Q9H3L0_M_186_A,Q2MKA7_K_122_A
Q9H3L0_W_189_A,Q2MKA7_R_124_A
Q9H3L0_R_197_A,Q02763_C_224_S
Q9H3L0_F_204_A,Q02763_Y_1102_F
Q9H3L0_C_212_A,Q7Z2W4_H_810_N
Q9H3L0_D_226_A,Q7Z2W4_N_830_Y
Q9H3L0_Y_237_A,P47900_L_44_A
Q9H3L0_R_266_A,P47900_Y_110_F
Q9H3L0_W_270_A,P47900_Y_203_A
Q9H3L0_S_278_A,P47900_T_205_A
Q9H3L0_F_280_A,P47900_N_283_A
Q9Y4P1_C_74_S,P47900_Y_306_F
Q9Y4P1_C_78_A,Q6PJP8_D_838_N
Q9Y4P1_W_142_A,Q6PJP8_H_994_A
Q9Y4P1_R_229_A,Q7KZI7_T_208_A
Q9Y4P1_D_278_A,Q96AP4_S_351_A
Q9Y4P1_H_280_A,Q96AP4_S_351_Q
P01008_A_414_K,Q96AP4_S_351_Y
P01008_A_414_Q,Q96AP4_C_360_A
P08709_S_112_A,Q96AP4_D_406_A
P08709_S_113_A,Q96AP4_E_428_A
Q01581_C_129_A,Q96AP4_Q_487_A
Q01581_C_129_S,Q96AP4_H_491_A
P43155_Y_452_A,Q96AP4_D_512_A
P43155_Y_452_F,Q687X5_S_138_Q
P43155_T_465_A,Q86WV5_Y_115_A
P43155_R_518_Q,P09211_Y_8_F
P43155_F_566_A,P09211_D_99_A
P43155_F_566_Y,Q9Y6X9_Y_18_A
Q92600_R_227_E,Q9Y6X9_N_39_A
