train,val
Q96Q83_R_131_A,P27695_C_310_S
Q96Q83_L_177_A,Q13131_V_307_G
Q96Q83_L_177_N,Q13131_V_307_Q
Q96Q83_L_177_E,O94804_K_65_I
Q96Q83_L_177_Q,Q16513_D_700_E
Q96Q83_L_177_I,Q16513_T_816_A
Q96Q83_L_177_M,Q16513_T_958_A
Q96Q83_N_179_A,Q9BWF3_Y_37_A
Q96Q83_Y_181_A,Q9BWF3_F_39_A
Q96Q83_D_189_A,P60953_G_12_V
Q96Q83_H_191_A,P60953_T_17_N
Q96Q83_D_193_A,P60953_Q_61_L
P54762_K_651_R,Q03426_E_19_D
Q00987_C_438_L,Q03426_I_56_A
Q00987_C_449_A,Q03426_T_104_A
Q00987_C_449_S,Q03426_S_145_A
Q00987_H_452_A,Q03426_S_146_A
Q00987_T_455_A,Q03426_Y_149_A
Q00987_H_457_S,Q03426_E_193_Q
Q00987_C_461_S,Q03426_I_196_A
Q00987_C_464_A,Q03426_S_201_A
Q00987_C_475_G,Q03426_D_204_A
Q00987_C_478_S,Q03426_D_204_N
O75365_C_49_A,Q03426_T_243_A
O75365_D_71_A,Q03426_E_296_Q
O75365_D_72_A,Q9H2K2_M_1054_V
O75365_C_104_A,Q15208_K_118_A
O75365_C_104_S,Q15208_S_281_A
O75365_A_111_S,Q8NBK3_S_333_A
P41146_Q_107_A,Q8NBK3_S_333_T
P41146_D_110_A,Q8NBK3_C_336_S
P41146_D_130_A,Q8NBK3_H_337_A
P41146_Y_131_A,Q8NBK3_Y_340_F
P41146_Q_280_A,Q8NBK3_C_341_S
P41146_Y_309_A,P62820_N_124_I
Q96RU2_C_171_A,P33981_D_664_A
P62491_S_25_N,P33981_T_686_A
P62491_F_36_A,P04746_D_212_A
P62491_L_38_P,P04746_D_212_N
P62491_S_40_F,P04746_E_248_A
P62491_K_41_A,P04746_E_248_Q
P62491_K_41_P,P04746_D_315_A
P62491_I_44_A,P04746_D_315_N
P62491_Q_70_L,O94817_K_54_D
P62491_R_82_C,O94817_V_62_R
P61619_Y_344_H,O94817_G_63_D
Q9Y2H1_T_75_A,O94817_K_72_D
O94766_E_281_A,O94817_W_73_A
O94766_C_301_A,O94817_D_113_V
Q9BYP7_D_294_A,O94817_C_122_W
Q9BQ50_D_14_A,O94817_A_138_R
Q9BQ50_E_16_A,O94817_W_139_F
Q9BQ50_D_123_A,O94817_W_139_Y
Q13641_K_76_A,O43681_G_46_R
Q13641_F_97_T,O43681_K_86_D
Q13641_Y_325_A,Q4FZB7_G_229_F
Q6XQN6_D_19_A,Q4FZB7_G_229_Y
Q6XQN6_Y_21_A,Q4FZB7_S_251_A
Q6XQN6_G_169_A,Q4FZB7_W_264_A
Q6XQN6_G_209_A,Q4FZB7_F_281_A
Q6XQN6_H_213_A,Q4FZB7_F_311_A
Q6XQN6_D_288_A,Q14019_K_75_A
Q6XQN6_R_318_A,Q14019_K_130_A
Q6XQN6_N_357_A,Q14019_K_131_A
Q96MU7_K_361_L,Q14019_K_131_E
Q96MU7_S_362_A,Q14019_K_131_R
Q96MU7_L_387_E,O43353_K_47_A
Q96MU7_L_399_E,O43353_D_146_N
Q96MU7_F_401_D,Q8IZI9_K_57_A
Q96MU7_S_402_A,Q8IZI9_D_58_A
Q96MU7_F_409_D,Q8IZI9_V_118_A
Q96MU7_G_411_I,Q8IZI9_Q_121_A
Q96MU7_W_428_D,Q8IZI9_F_176_A
Q96MU7_W_447_D,Q8IZI9_F_179_A
Q96MU7_N_466_D,P10599_C_32_S
Q96MU7_R_475_D,P10599_C_35_S
Q96MU7_D_476_K,P10599_C_62_S
Q96HS1_H_105_A,P10599_C_69_S
Q9NXA8_T_69_A,P10599_E_70_A
Q9NXA8_R_105_M,P10599_K_72_A
Q9NXA8_H_158_A,P10599_C_73_D
P10646_K_64_I,P10599_C_73_S
P10646_R_135_L,P29218_K_36_Q
P10646_R_227_L,P29218_D_93_N
P60891_S_132_A,P29218_S_165_A
P60891_S_132_F,P29218_S_165_I
P60891_N_144_H,P29218_E_213_Q
P60891_Y_146_F,O00187_R_444_Q
P60891_Y_146_M,Q92995_W_221_A
O95747_K_46_A,Q92995_K_233_A
O95747_K_46_M,Q92995_F_273_A
Q9UBZ9_D_570_A,Q92995_M_664_E
Q9UBZ9_E_571_A,Q92995_M_739_E
Q9H0H5_F_289_G,Q86VW2_L_301_E
Q9H0H5_K_292_L,Q86VW2_F_471_A
Q9H0H5_R_306_L,Q86VW2_L_472_A
Q9H0H5_F_309_A,Q86VW2_L_475_A
Q9H0H5_C_316_G,Q86VW2_P_478_A
Q9H0H5_R_385_A,Q86VW2_I_479_A
Q13822_S_170_E,P29320_V_133_E
Q13822_T_210_A,P29320_F_152_L
Q13822_F_211_Y,P29320_Y_742_F
Q13822_A_218_V,P29320_S_768_A
Q13822_N_231_A,P62837_C_85_A
Q13822_Y_307_Q,Q9BXR0_D_279_N
Q13822_H_316_Q,Q9UKK6_I_114_R
Q13822_H_360_Q,Q9UKK6_R_134_D
P48426_G_131_L,P42575_C_320_S
P48426_Y_138_F,P42575_A_369_T
Q9Y2Z4_S_200_E,P35520_C_272_A
Q9Y2Z4_Q_202_A,P35520_C_275_S
Q93009_C_223_A,Q8IVH4_K_290_A
Q93009_C_223_S,Q8IVH4_D_292_A
Q93009_H_456_A,Q5JS13_L_148_A
Q93009_H_464_A,Q96QB1_R_1114_E
Q00613_K_80_Q,Q9HCE7_K_28_A
Q00613_K_80_R,Q9HCE7_K_85_A
Q00613_T_120_A,P09917_D_359_N
Q00613_S_121_A,P09917_F_360_W
Q00613_S_121_D,P09917_H_363_S
Q9H0P0_D_88_N,P09917_H_363_N
Q9H0P0_F_89_A,P09917_H_368_S
Q9H0P0_D_90_N,P09917_H_368_N
Q9H0P0_E_135_D,P09917_H_368_A
Q9H0P0_D_232_N,P09917_H_373_S
Q9H0P0_F_233_A,P09917_H_373_N
Q9H0P0_D_234_N,P09917_E_377_Q
O15217_Y_9_F,P09917_H_391_A
Q96AB6_C_75_A,P09917_H_391_S
Q96AB6_C_75_S,P09917_H_391_N
Q96AB6_C_75_T,P09917_H_400_A
P08631_K_290_E,P09917_H_400_S
P08631_E_305_A,P09917_H_400_N
P08631_D_381_E,P09917_A_425_I
P08631_Y_411_A,P09917_N_426_M
P08631_Y_522_F,P09917_H_433_N
Q9Y5P4_E_472_A,P09917_H_433_A
Q9Y5P4_Q_493_A,P09917_H_551_N
Q9Y5P4_W_499_A,P09917_H_551_A
Q9Y5P4_N_530_A,P09917_A_604_I
Q9Y5P4_W_588_A,O15516_S_38_E
P20132_C_303_A,O15516_S_42_E
Q5VVQ6_C_160_S,O15516_E_116_K
Q9Y4P1_C_74_S,Q96G97_H_67_R
Q9Y4P1_W_142_A,Q96G97_Y_70_A
Q9Y4P1_R_229_A,Q96G97_Y_151_A
Q9Y4P1_D_278_A,Q96G97_L_156_D
Q9Y4P1_H_280_A,Q96G97_L_169_D
Q01581_C_129_A,Q96G97_Q_175_A
Q01581_C_129_S,Q96EK6_E_156_D
P43155_Y_452_F,P51580_R_152_E
P43155_T_465_A,Q8NI60_A_339_G
P43155_R_518_Q,P61086_D_94_E
P43155_F_566_A,P08172_N_58_A
P43155_F_566_Y,P08172_D_103_E
Q6NYC1_Y_131_F,P08172_Y_206_F
Q6NYC1_H_187_A,P08172_N_404_Q
Q6NYC1_D_189_A,P16444_E_141_C
Q6NYC1_K_204_A,P16444_E_141_D
Q6NYC1_E_231_A,P16444_E_141_Q
Q6NYC1_H_273_A,P13639_H_599_P
Q6NYC1_T_285_A,P78417_C_32_A
Q6NYC1_N_287_A,Q9Y4U1_R_230_Q
P28907_C_119_K,Q9UKV8_L_140_W
P28907_C_119_R,Q9UKV8_K_533_A
P28907_C_119_E,Q9UKV8_Q_545_A
P28907_C_119_A,Q9UKV8_K_570_A
P28907_C_160_A,Q9UKV8_D_597_A
P28907_C_173_A,Q9UKV8_Q_633_A
P28907_C_201_D,Q9UKV8_Q_633_R
P28907_C_201_K,Q9UKV8_H_634_P
P28907_C_201_A,Q9UKV8_H_634_A
P28907_C_201_E,Q9UKV8_D_669_A
P23219_S_529_N,Q9UKV8_E_673_A
P27694_C_500_S,Q9UKV8_E_673_G
P27694_C_503_S,Q9UKV8_F_676_A
Q9H7Z6_K_274_A,Q9UKV8_F_676_I
Q9H7Z6_K_274_R,Q9UKV8_F_676_M
Q9H7Z6_C_316_S,Q9UKV8_F_676_R
Q9H7Z6_E_350_Q,Q9UKV8_F_676_Y
Q9BSD7_E_114_T,Q9UKV8_F_676_V
Q9BSD7_G_116_H,Q9UKV8_H_682_Y
Q05086_F_750_D,Q9UKV8_E_683_G
Q9NRG4_E_187_K,Q9UKV8_F_704_Y
Q9NRG4_E_189_K,Q9UKV8_T_744_Y
Q9NRG4_E_190_K,Q9UKV8_H_807_A
Q9NRG4_H_207_A,Q9UKV8_H_807_R
Q9NRG4_Y_240_F,Q9Y6K1_F_732_A
Q9NRG4_Y_245_F,Q53HL2_T_230_A
Q9NRG4_D_252_R,Q53HL2_T_230_V
Q9NRG4_R_253_Q,P82251_P_482_A
Q9NRG4_R_306_E,P82251_P_482_G
Q9NRG4_Y_374_A,P82251_P_482_S
Q9NRG4_E_429_K,P82251_P_482_V
Q9NRG4_E_431_K,P82251_P_482_F
P53602_N_17_A,P82251_P_482_I
Q99685_Y_194_F,P82251_P_482_M
Q99685_C_201_A,P82251_P_482_W
Q99685_C_208_A,Q96PM5_M_176_E
Q99685_C_242_A,Q96PM5_C_186_A
Q9HAS3_S_568_P,P04406_C_152_S
P61956_K_11_R,P04406_C_156_S
P61956_K_33_E,P04406_C_247_S
P61956_K_35_E,P04439_T_158_K
P61956_K_42_E,Q9NZI5_R_427_A
Q9H221_G_216_D,Q9NZI5_R_427_Q
Q9H227_E_165_D,Q9HCI7_H_64_Y
Q9H227_E_165_Q,P45983_K_55_D
Q9H227_V_168_Y,P45983_T_183_A
Q9H227_F_225_S,P45983_Y_185_F
Q9H227_Y_308_F,Q96C23_H_107_A
Q9H227_Y_308_A,Q96C23_H_176_A
Q9H227_E_373_D,Q96C23_E_307_A
Q9H227_E_373_Q,P21796_S_193_A
P19440_K_100_N,P21796_S_193_E
P19440_E_102_Q,Q9Y657_W_72_A
P19440_R_107_K,Q9Y657_W_72_R
P19440_R_107_Q,Q9Y657_Y_98_R
P19440_R_107_H,Q9Y657_F_141_A
P19440_E_108_Q,Q9Y657_Y_170_A
P19440_R_112_Q,Q9Y657_F_251_R
P19440_R_139_Q,P0DMV8_K_77_Q
P19440_R_147_Q,P0DMV8_K_77_R
P19440_R_150_Q,Q6IQ55_K_50_E
P19440_C_192_W,Q6IQ55_K_50_A
P19440_E_193_Y,Q6IQ55_K_143_E
P19440_H_383_A,Q6IQ55_K_143_A
P19440_S_385_A,Q6IQ55_D_163_A
P19440_S_413_A,Q6IQ55_R_181_E
P19440_D_422_A,Q6IQ55_R_181_A
P19440_D_423_A,Q6IQ55_A_184_E
P19440_S_425_A,Q6IQ55_A_184_G
P19440_S_451_A,Q9NQC7_C_601_A
P19440_S_452_A,Q9NQC7_C_601_S
P19440_C_454_A,Q9NQC7_H_871_N
P19440_H_505_A,P53778_D_179_A
P19440_Q_545_K,P53778_Y_185_F
Q16512_K_644_E,P53778_F_330_S
P20823_N_127_W,P22307_N_528_D
P20823_E_132_K,P22307_N_528_I
P20823_F_177_S,P22307_G_530_D
P20823_N_202_D,O14732_D_104_N
P20823_V_246_D,Q99497_L_10_P
P20823_N_257_W,Q99497_E_18_A
Q9H816_D_14_N,Q99497_E_18_D
Q9H816_H_33_A,Q99497_E_18_N
Q9H816_D_35_N,Q99497_E_18_Q
P31941_R_28_E,Q99497_C_46_S
P31941_H_29_A,Q99497_V_51_A
P31941_K_30_F,Q99497_C_53_A
P31941_N_57_A,Q99497_C_53_S
P31941_K_60_A,Q99497_C_106_A
P31941_R_69_A,Q99497_C_106_S
P31941_H_70_R,Q99497_H_126_A
P31941_E_72_Q,Q99497_A_179_T
P31941_W_98_L,P36888_Y_591_F
P31941_C_106_S,P36888_Y_599_F
P31941_R_128_A,P36888_K_644_A
P31941_Y_130_A,P50213_Y_153_F
P31941_D_131_N,P50213_K_169_A
P31941_D_133_N,P50213_K_200_A
P31941_Y_136_A,P50213_N_202_A
Q13356_Y_389_H,P50213_D_208_A
Q13356_Y_389_W,P50213_Y_255_A
Q96DA2_Q_68_L,Q8IYT8_K_39_R
Q96MF7_C_169_A,P13725_C_74_S
Q96MF7_C_185_A,P13051_D_154_E
Q96MF7_H_187_A,P13051_D_154_N
Q96MF7_C_210_A,P20160_C_52_S
Q96MF7_C_215_A,P20160_C_68_S
P17213_C_163_A,O15382_C_342_A
P17213_C_166_S,O15382_C_345_A
Q14914_R_56_A,Q08211_I_347_A
Q14914_Y_245_A,Q08211_K_417_R
Q14914_Y_245_F,Q08211_K_417_N
P37088_C_394_S,Q5VZV1_D_141_A
Q9HCP0_N_169_A,Q9UQ84_D_78_A
O14684_Q_36_E,Q9UQ84_D_173_A
O14684_D_49_A,Q9UQ84_D_225_A
O14684_D_49_N,P40818_C_786_S
O14684_E_66_A,P36873_H_125_A
O14684_R_67_A,Q13435_K_507_A
O14684_R_70_A,Q13435_K_507_R
O14684_R_70_S,Q13435_K_509_A
O14684_H_72_A,Q13435_K_509_R
O14684_R_73_A,Q96QP1_Q_67_A
O14684_R_73_L,Q96QP1_R_116_A
O14684_R_110_A,Q96QP1_R_150_A
O14684_R_110_S,Q96QP1_R_153_A
O14684_R_110_T,Q96QP1_D_231_A
O14684_T_114_V,Q96QP1_K_233_A
O14684_Y_117_A,Q96QP1_T_237_E
O14684_Y_117_F,Q96QP1_F_295_K
O14684_R_126_A,Q96GD0_D_25_N
O14684_R_126_L,P50336_R_59_G
O14684_R_126_K,P50336_R_59_Q
O14684_R_126_Q,P50336_L_74_P
O14684_S_127_A,P50336_R_97_D
O14684_Y_130_I,P50336_L_166_N
O14684_Q_134_E,P50336_G_169_A
Q16647_C_441_H,P50336_S_284_I
O15530_S_241_A,P50336_V_290_L
O15530_A_277_V,P50336_F_331_A
O15530_S_410_A,P50336_L_334_A
O15530_T_513_E,P50336_V_347_A
Q9UNE7_K_30_A,P50336_M_368_A
Q16878_R_60_Q,P15056_M_53_D
Q16878_C_93_S,P15056_K_88_E
Q16878_Y_157_F,P15056_K_483_S
Q16878_C_164_S,P15056_I_666_R
P09936_Q_73_R,P15056_R_671_K
P09936_C_90_S,Q9UQB9_K_72_R
P09936_H_97_Q,Q9UQB9_D_166_Y
P09936_H_97_N,Q9UQB9_T_198_A
P09936_H_161_D,P51795_Y_687_A
P09936_H_161_K,P51795_S_688_A
P09936_H_161_Q,P51795_D_797_A
P09936_H_161_N,Q9Y2R2_C_129_S
P09936_H_161_Y,Q9Y2R2_C_231_S
P09936_F_204_A,Q07912_L_120_Q
Q9NS91_I_27_A,Q07912_K_158_R
P80192_K_171_A,Q07912_L_197_Q
P80192_T_304_A,Q07912_V_365_R
P80192_T_305_A,O00764_D_235_A
P80192_T_312_A,O00764_D_235_N
O14757_K_38_R,P18031_C_215_S
O14757_D_130_A,Q14191_E_84_A
P16455_Y_114_A,Q14191_L_88_A
P16455_Y_114_E,Q14191_W_145_A
P16455_R_128_A,Q14191_Y_212_F
P16455_R_128_D,Q04759_Y_90_F
P16455_R_128_G,Q04759_A_148_E
P16455_R_128_K,Q04759_K_409_A
P16455_R_128_L,Q04759_K_409_E
P16455_C_145_A,Q04759_T_538_A
P16455_Y_158_A,Q04759_S_676_A
P16455_Y_158_F,Q04759_S_695_A
Q8NHV1_R_103_D,P32322_E_221_A
Q8NHV1_E_136_W,P05546_R_122_L
Q9Y6U3_M_310_D,P05546_R_122_Q
Q9Y6U3_E_314_S,P05546_R_122_W
P10586_C_1548_S,O95551_N_120_A
P51617_D_340_N,O95551_E_152_A
P51617_T_387_A,O95551_Y_178_F
O00267_R_696_K,O95551_Y_178_W
O00267_R_698_A,O95551_R_206_A
O00267_R_698_K,O95551_R_206_K
O00267_G_1002_D,O95551_D_262_A
Q9H2K8_D_165_A,O95551_D_262_H
Q9H2K8_T_181_A,O95551_D_262_L
Q9H2K8_Y_183_F,O95551_D_262_M
Q06124_C_459_S,O95551_L_305_A
Q7L1W4_T_44_C,O95551_L_305_F
Q9NRX4_K_21_A,O95551_L_305_W
Q9NRX4_R_45_A,O95551_D_316_N
Q9NRX4_H_53_A,Q712K3_C_93_S
Q9NRX4_R_78_A,Q712K3_L_97_S
Q9NRX4_S_94_A,Q96GG9_C_115_A
Q9NRX4_H_102_A,Q96GG9_C_115_G
P09488_Y_7_F,Q96GG9_C_115_I
P09488_H_108_Q,Q96GG9_C_115_L
P09488_H_108_S,Q96GG9_C_115_T
P09488_M_109_I,Q96GG9_C_115_V
P09488_Y_116_A,Q9NWX6_D_58_A
P09488_Y_116_F,Q9NWX6_H_63_A
P38398_I_26_A,Q9NWX6_S_104_A
P38398_I_26_E,Q9NWX6_D_105_A
P29466_C_285_A,Q9NWX6_E_106_A
P29466_C_285_S,Q9NWX6_T_127_A
P29466_W_294_A,Q9NWX6_H_181_A
P29466_I_318_N,Q9NWX6_K_216_A
P29466_K_320_A,Q9NWX6_N_227_A
Q9Y606_D_146_A,O60869_T_65_D
Q8IYU8_D_185_A,O60869_T_74_D
Q8IYU8_D_375_A,P08913_D_128_N
Q8IYU8_E_386_A,Q8IVH8_K_48_E
P01588_S_127_E,P28223_L_229_A
O95989_G_50_A,Q9P2I0_H_67_A
O95989_G_50_V,Q9P2I0_D_289_A
O95989_G_51_A,Q9P2I0_R_543_A
O95989_G_52_A,Q8WVM0_G_65_A
O95989_G_52_V,Q8WVM0_N_141_A
O95989_E_66_Q,Q8WVM0_K_220_A
O95989_E_70_Q,P01225_T_78_E
O95989_G_72_A,Q9NZK7_N_40_G
O95989_G_75_A,Q9NZK7_N_40_M
O95989_G_78_A,Q9NZK7_N_40_W
O95989_G_78_V,Q9NZK7_D_41_A
O95989_G_82_A,Q9NZK7_D_41_K
O95989_F_84_Y,Q9NZK7_H_65_A
O95989_H_91_L,Q9NZK7_D_66_A
Q6DN90_E_620_K,Q9NZK7_N_132_A
P01584_F_233_C,Q9NZK7_N_132_K
O95983_H_30_K,Q6ZMT4_H_282_A
P01033_H_30_A,P61328_R_114_A
P01033_Q_32_A,P61328_R_114_G
Q9Y4E8_C_298_A,Q9BYX4_T_829_A
Q9Y4E8_C_812_A,O43447_W_133_F
Q6PHW0_R_101_A,P25445_I_313_D
Q6PHW0_R_101_H,P50225_C_70_S
Q6PHW0_F_105_A,P50225_D_249_G
Q6PHW0_F_105_Y,P63092_Q_170_A
Q6PHW0_I_116_V,P63092_R_258_A
P43490_D_219_N,Q96BZ9_R_105_A
P43490_D_219_S,Q96BZ9_Q_144_L
P43490_H_247_A,Q9H999_E_138_V
P43490_R_311_D,Q9H999_R_207_W
P15531_F_60_W,Q16763_C_95_S
P15531_H_118_F,Q16763_K_117_A
P15531_H_118_G,P55210_C_186_A
P46063_K_119_A,Q04828_R_304_L
Q92729_C_1085_S,Q04828_Y_305_F
P42765_C_92_A,Q04828_T_307_V
P42765_C_92_S,Q04828_D_309_V
P42765_C_382_S,P14859_S_385_A
Q15831_K_48_R,Q9Y233_D_554_A
Q15831_K_78_I,Q9Y233_D_554_N
Q15831_K_78_M,A7KAX9_R_407_A
Q15831_K_96_R,A7KAX9_R_407_I
Q15831_K_97_R,A7KAX9_R_407_M
Q15831_D_194_A,A7KAX9_K_447_A
Q15831_F_204_A,P53355_K_42_A
Q9UHD2_K_30_R,P53355_S_289_A
Q9UHD2_D_33_A,P53355_S_289_E
Q9UHD2_K_38_A,P53355_S_308_A
Q9UHD2_D_135_N,P53355_S_308_D
Q9UHD2_S_172_A,P53355_S_313_A
Q9UHD2_S_172_E,Q8N0X4_D_320_A
Q9UHD2_L_316_E,Q8N0X4_D_320_N
Q9UHD2_Y_325_E,P17081_Q_67_L
Q9UHD2_E_355_R,Q5D1E8_D_141_N
Q9UHD2_R_357_A,Q5D1E8_N_144_A
Q9UHD2_K_401_R,Q5D1E8_C_157_A
Q9UHD2_E_448_R,Q5D1E8_R_214_A
Q9UHD2_H_459_E,Q5D1E8_D_225_A
Q9UHD2_I_466_E,Q5D1E8_D_226_A
Q9UHD2_F_470_E,Q9BUB5_K_78_M
Q9UHD2_R_547_D,P37173_K_277_R
Q9UHD2_Y_577_A,P58753_P_125_H
Q9UHD2_N_578_A,P09960_Q_135_A
Q9UHD2_E_580_A,P09960_Q_135_L
Q9UHD2_Q_581_A,P09960_Q_137_A
Q9UHD2_I_582_A,P09960_Q_137_L
Q9UHD2_K_589_D,P09960_Q_137_N
Q9NPH0_R_58_A,P09960_H_140_Q
Q9NPH0_H_59_A,P09960_G_269_A
Q9NPH0_R_62_A,P09960_G_270_A
Q9NPH0_Y_106_F,P09960_M_271_L
Q9NPH0_Y_110_F,P09960_E_272_A
Q9NPH0_R_168_A,P09960_E_272_D
Q9NPH0_A_257_F,P09960_E_272_Q
Q9NPH0_A_257_L,P09960_N_273_A
Q9NPH0_A_257_W,P09960_H_296_Y
Q9NPH0_S_285_W,P09960_E_297_A
Q9NPH0_L_289_W,P09960_E_297_K
Q9NPH0_H_334_A,P09960_E_297_Q
Q9NPH0_D_335_A,P09960_H_300_L
Q9HC16_R_213_A,P09960_E_319_A
Q9HC16_R_213_E,P09960_D_372_N
Q9HC16_R_215_A,P09960_D_374_N
Q9HC16_R_215_E,P09960_D_376_A
Q9HC16_T_218_A,P09960_D_376_E
Q9HC16_T_218_E,P09960_D_376_N
Q9HC16_C_221_S,P09960_E_385_Q
Q9HC16_N_244_A,P09960_R_564_A
Q9HC16_R_256_E,P09960_R_564_K
Q9HC16_H_257_A,P09960_R_564_M
Q9HC16_E_259_A,P09960_K_566_A
Q9HC16_E_259_Q,P09960_K_566_M
Q9HC16_W_285_A,P09960_K_566_R
Q9HC16_C_288_A,P62937_R_55_A
Q9HC16_C_291_A,P62937_F_60_A
Q9HC16_C_291_S,P62937_R_69_A
Q9HC16_R_313_A,P62937_H_70_A
Q9HC16_R_313_E,P62937_T_107_A
Q9HC16_Y_315_A,P62937_F_113_A
Q9HC16_R_320_A,P62937_W_121_A
Q9HC16_R_320_E,P62937_W_121_E
Q9HC16_E_323_Q,P62937_W_121_H
P10114_G_12_V,P62937_H_126_A
P10114_T_35_A,Q92905_H_138_Q
P24666_C_13_S,Q15126_K_17_M
P24666_Y_132_F,Q15126_R_18_Q
P24666_Y_133_F,Q15126_K_19_M
Q14654_V_64_M,Q15126_K_22_M
Q99873_V_92_A,Q15126_D_23_N
Q99873_L_93_A,Q15126_K_48_M
Q99873_D_94_A,Q15126_K_69_M
Q99873_Y_280_A,Q15126_R_73_M
Q99873_Y_322_A,Q15126_R_84_M
Q99873_L_359_A,Q15126_R_93_M
O43683_K_821_A,Q15126_R_110_M
Q16873_S_36_E,Q15126_R_111_M
Q16873_T_40_A,Q15126_R_130_M
Q16873_R_51_T,Q15126_R_138_M
Q16873_R_51_I,Q15126_R_141_M
Q16873_N_55_A,Q9UK55_Y_408_A
Q16873_Y_59_F,Q9UK53_W_378_A
